lat,long,name,address,phone,email,LandMark,category,DoctorsNumber,HIVServces,AnteNatalService,Tuberculosis,EmergencyServices,Open_days,Tier
8.976,7.367,Sharon Medical Clinic Provides-HIV-TB-ANC,Behind LEA Lugbe,(23480) 584-1755,info@maitama.gov.ng,"Behind Lea Pry School Lugbe, Abuja",Secondary,0,Yes,No,No,No,Mon - Friday,Private
9.034,7.481,Regal Dental Clinic Provides-HIV-TB-ANC,"Plot 22, Area 2, Basita Closed Section 2, Data Clinic Complex, Garki Abuja",(23480) 584-1756,info@maitama.gov.ng,"At The Back Of Dara Med. Centre, And Traceable Distance From Four Square Church",Primary,2,No,No,No,No,Mon - Friday,Private
9.039,7.488,Aqura Hotel Clinic Provides-HIV-TB-ANC,"Festival Rd, Garki Area 7, Inside Aqura Hotel",(23480) 584-1757,info@maitama.gov.ng,Inside Agura Hotel On First Floor,Primary,1,No,No,No,No,Mon - Friday,Private
8.967,7.406,Amana Clinic,Amana Clinic Pyakasa Provides-HIV-TB-ANC,(23480) 584-1758,info@maitama.gov.ng,"Behind Pyakasa Pry School Pyakasa, Abuja",Secondary,1,No,Yes,Yes,Yes,Mon - Sunday,Private
8.974,7.372,New Age Medical Lab Provides-HIV-TB-ANC,"Zone 5 Lugbe Along Airport Road, Lugbe",(23480) 584-1759,info@maitama.gov.ng,"Zone 5 Along Airport Road, Lugbe",Secondary,0,No,No,No,No,Mon - Friday,Private
8.977,7.369,Alafia Clinic And Maternity Provides-HIV-TB-ANC,Beside House Of Assembly,(23480) 584-1760,info@maitama.gov.ng,"Beside House Of Assembly, Lugbe Through Primary School,Lugbe, Abuja",Primary,1,No,Yes,Yes,Yes,Mon - Sunday,Private
8.976,7.367,Lugbe Clinic Provides-HIV-TB-ANC,Behind Lugbe Primary School After Sharon Lab,(23480) 584-1761,info@maitama.gov.ng,"Behind Lugbe Primary School After Sharon Lab, Lugbe",Primary,1,Yes,Yes,Yes,Yes,Mon - Sunday,Private
8.983,7.376,"Standard Medical Lab Provides-HIV-TB-ANC, Lugbe","Phase 1 F.H.A Lugbe, Abuja",(23480) 584-1762,info@maitama.gov.ng,"Phase 1 F.H.A Lugbe Along Airport Road, Abuja",Secondary,2,Yes,Yes,Yes,Yes,Mon - Sunday,Private
8.991,7.367,St. George's Clinic Provides-HIV-TB-ANC,"Federal Housing Estate, Lugbe Behind Shopping Center, Lugbe.",(23480) 584-1763,info@maitama.gov.ng,"Federal Housing Estate Lugbe Behind Shopping Center Along Airport Road, Abuja",Secondary,1,No,Yes,Yes,Yes,Mon - Sunday,Private
8.996,7.371,The Comforter Clinic Provides-HIV-TB-ANC And Diagnosis Center,46 Road F.H.A Estate Near IBB Market,(23480) 584-1764,info@maitama.gov.ng,46 Road Federal Housing Authority Near IBB Market Along Airport Road,Primary,1,Yes,Yes,Yes,Yes,Mon - Sunday,Private
8.987,7.562,Glory Maternity Home Provides-HIV-TB-ANC,1 Carnival Street Jikwuyi Phase 1 Through Asaka Phase 1,(23480) 584-1765,info@maitama.gov.ng,1 Carnival Street Jikwuyi Phase 1 Through Asaka Phase 1,Primary,2,No,Yes,Yes,Yes,Mon - Sunday,Private
9.030,7.568,Jalingo Medical Clinic Provides-HIV-ANC,"Plot 53 Phase 2, Opposite Area 'A' Nyanya, Abuja",(23480) 584-1766,info@maitama.gov.ng,"Plot 53 Phase 2, Opposite Area 'A' Nyanya, Abuja",Secondary,2,No,Yes,Yes,Yes,Mon - Sunday,Private
9.029,7.567,Shammah Hospital And Maternity Provides-HIV-ANC,"Shammah Clinic Area(A) Last Road, Mountain Of Fire Road",(23480) 584-1767,info@maitama.gov.ng,"Shammah Clinic Area(A) Last Road, Mountain Of Fire Road",Secondary,2,No,Yes,Yes,Yes,Mon - Sunday,Private
8.985,7.564,Lola-Femi Clinic And Maternity Provides-HIV-ANC,"Along Chief Palace Road, Jikwoyi Phase One",(23480) 584-1768,info@maitama.gov.ng,"Along Chief Palace Road, Jikwoyi Phase One",Primary,1,No,Yes,Yes,Yes,Mon - Sunday,Private
8.977,7.567,Rapha Hospital And Maternity Provides-HIV-ANC,"Near Giwa Hotel Phase 3, Jikwoyi",(23480) 584-1769,info@maitama.gov.ng,"Near Giwa Hotel Phase 3, Jikwoyi",Primary,3,No,Yes,Yes,Yes,Mon - Sunday,Private
9.100,7.408,Ebony Hospitals And Maternity Provides-HIV-ANC,"House 76, 3rd Avenue Gwarimpa Estate, Abuja",(23480) 584-1770,info@maitama.gov.ng,"House 76, 3rd Avenue Gwarimpa Estate, Abuja",Secondary,2,No,Yes,Yes,Yes,Mon - Sunday,Private
9.107,7.405,Gwarimpa Medical Laboratories Provides-HIV-ANC,"Gwarimpa Plaza, Suite 3, 3rd Avenue",(23480) 584-1771,info@maitama.gov.ng,"A Privately Owned Laboratory Situated At Gwarimpa Plaza,3rd Avenue",Secondary,0,Yes,No,No,No,Mon - Friday,Private
9.117,7.408,Evening Light Clinic Provides-HIV-ANC,"House No 100, 4th Avenue, Citec Villa, Gwarimpa, Abuja",(23480) 584-1772,info@maitama.gov.ng,A privately Owned SDP Offering Medical And Dental Services. It Comprises Of 1 Storey Building And Its Medical Aspect Just Commenced About A Month Ago.,Primary,4,No,No,No,No,Mon - Friday,Private
9.098,7.412,St. Georges Hospital Provides-HIV-ANC,"No. 18 3rd Avenue, Gwarimpa 2, Abuja",(23480) 584-1773,info@maitama.gov.ng,The SDP Is A 1 Storey Building Painted Yellow And Close To A Major Drainage System,Primary,2,Yes,Yes,Yes,Yes,Mon - Sunday,Private
8.974,7.371,Agnes Maternity Home Provides-HIV-ANC,Zone 2 Lugbe Village,(23480) 584-1774,info@maitama.gov.ng,"Zone 2 Lugbe Village Behind The Chief House, Airport Road Abuja",Secondary,0,No,Yes,Yes,Yes,Mon - Sunday,Private
9.030,7.481,Kapital Dental Clinic Provides-HIV-ANC,"Alex Ekweme Road, Jabi District Jabi, Beside Oando Filing Station.",(23480) 584-1775,info@maitama.gov.ng,It Is Situated Inside The Garki Neighbourhood Center,Secondary,0,No,No,No,No,Mon - Friday,Private
9.033,7.503,Winners Diagnostic Provides-HIV-ANC,"31 Okemesi St, Garki 2",(23480) 584-1776,info@maitama.gov.ng,"From Obasanjo Junction, Go Straight Down And Turn Left",Primary,5,No,No,No,No,Mon - Friday,Private
9.026,7.504,Dantata And Sawoe Clinic Provides-HIV-ANC,Main Yard Garki( Inside The Company),(23480) 584-1777,info@maitama.gov.ng,From Their Visitor's Main Gate You Go Straight And Turn By Your Left Side Where There Is Step And Walk Down The Step At Your Front Just Opposite The Step Is The Clinic With White Paint,Primary,1,No,No,No,No,Mon - Friday,Private
9.023,7.497,Prolfa Hospital Int'l Ltd Provides-HIV-ANC,"59, Amurie O Manze Str, Off Ladoke Akintola Blvd, Garki 2",(23480) 584-1778,info@maitama.gov.ng,"It Is Situated Off Ladoke Akintola, Blvd",Secondary,8,No,Yes,Yes,Yes,Mon - Sunday,Private
9.102,7.405,Kefat Hospital Provides-HIV-ANC,"No 5 Damaturu Road Gwarimpa Estate, Abuja",(23480) 584-1779,info@maitama.gov.ng,The SDP Is  A Single Flat Opposite Aminmin Guest Inn By The Side Of Mr. Biggs,Secondary,3,No,Yes,Yes,Yes,Mon - Sunday,Private
9.073,7.468,Kolstaf Medical Centre Provides-HIV-ANC,No.90 Aminu Kano Crescent,(23480) 584-1780,info@maitama.gov.ng,In Between Ilobe Filing Station And Agape Hotel,Primary,4,No,Yes,Yes,Yes,Mon - Sunday,Private
9.066,7.447,Hillview Medical Laboratory Provides-HIV-ANC,"Suite 39, Utako Ultra Modern Market Complex( Behind Julius Berger Yard",(23480) 584-1781,info@maitama.gov.ng,A Privately Owned Laboratory Situated At The Utako Ultra Modern Market Complex Close To Julius Berger Yard,Primary,0,No,No,No,No,Mon - Friday,Private
9.067,7.442,Wildot Clinic Provides-HIV-ANC,"Plot 903 Obafemi Awolowo Way, Utako District Abuja",(23480) 584-1782,info@maitama.gov.ng,A Privately Owned Sdp Located In The Compound Close To Ifesinachi Transport Ltd And The Compound Of The Clinic And Wildot National Productivity Center,Secondary,2,No,No,No,No,Mon - Friday,Private
9.072,7.417,Aremu Specialist Hospital And Diagnostic Center Provides-HIV-ANC,"Alex Ekweme Road, Jabi District Jabi, Beside Oando Filing Station.",(23480) 584-1783,info@maitama.gov.ng,A 3- Storey SDP Located At The Jabi District Opposite A River And Beside Dreamland Suite Hotels,Secondary,8,No,Yes,Yes,Yes,Mon - Sunday,Private
9.092,7.415,Bethsaida Hospital And Maternity Provides-HIV-ANC,"21 First Avenue, Gwarinmpa, F.C.T.",(23480) 584-1784,info@maitama.gov.ng,A 1-Storey Building SDP Painted Milk With A Blue Gate,Primary,3,No,Yes,Yes,Yes,Mon - Sunday,Private
9.043,7.502,Ultimate Diagnostic Center Provides-HIV-ANC,"11, Dunukofia Street, Area 2, Garki.",(23480) 584-1785,info@maitama.gov.ng,It Is Located Right Inside The Old CAC Building,Primary,1,Yes,No,No,No,Mon - Friday,Private
9.018,7.493,Alpha Zone Eye Clinic,Site 17 Supreme Plaza Garki 2,(23480) 584-1786,info@maitama.gov.ng,"The Plaza Is Situated At Plot 1242, Ladoke Akintola",Secondary,2,No,No,No,No,Mon - Friday,Private
9.019,7.489,Medivision Eye Clinic,"Plot D42, Opposite New Model Market, Lagos Crescent, Garki 2",(23480) 584-1787,info@maitama.gov.ng,Go Down The Road Opposite Bank PHP Clinic Is On The Right Hand Side Of The Road,Secondary,1,No,No,No,No,Mon - Friday,Private
8.940,7.093,Mumeen Medical Center Provides-HIV-ANC,"Adjacent Wodi Shopping Complex, Near New Motor Park, Gwagwalada",(23480) 584-1974,info@maitama.gov.ng,"Situated Adjacent Wodi Shopping Complex, Near New Motor Park, Gwagwalada",,3,No,Yes,Yes,Yes,Mon - Sunday,Private
8.931,7.086,Gonita Clinic And Maternity Provides-HIV-ANC,"Beside Dagiri Primary School, Dagiri, Gwagwalada",(23480) 584-1975,info@maitama.gov.ng,"A Private Clinic Situated Beside Dagiri Primary School, Dagiri, Gwagwalada",,4,No,Yes,Yes,Yes,Mon - Sunday,Private
8.929,7.058,Kutunku 1 Health Clinic,"Kutunku Health Clinic Opposite U.B.E Primary School, Old Kutunku, Gwagwalada",(23480) 584-1976,info@maitama.gov.ng,"Kutunku Health Clinic Opposite U.B.E Primary School, Old Kutunku, Gwagwalada",,0,No,Yes,Yes,Yes,Mon - Sunday,Public
8.935,7.080,Gwagwalada Clinic And Maternity Provides-HIV-ANC,"Along FRCN Road, New Kutunku, Gwagwalada",(23480) 584-1977,info@maitama.gov.ng,"This Hospital Is  Privately Owned, Situated Along Frcnroad,New Kutunku,Gwagwalada",,3,Yes,Yes,Yes,Yes,Mon - Sunday,Private
8.941,7.085,Emmadi Medical Laboratory,"Secretariat Road, Near Bank Of The North,Gwagwalada",(23480) 584-1978,info@maitama.gov.ng,"A Privately Owned Laboratory Situated Along Secretariat Road,Near Bank Of The North,Gwagwalada",,0,Yes,Yes,Yes,Yes,Mon - Sunday,Private
9.066,6.994,Deobi Health Clinic Provides-HIV-ANC,"Along Izon Road, Dobi Gwagwalada",(23480) 584-1979,info@maitama.gov.ng,A Government Owned Health Facility Situated Along Izon Road From Gwagwalada,,29,No,Yes,Yes,Yes,Mon - Sunday,Public
9.092,7.001,Ledii Health Post Provides-HIV-ANC,"Opp. L.E.A Primary School, Ledi 1",(23480) 584-1980,info@maitama.gov.ng,"A Area Council Owned Health Post Situated Opposite Ledii Primary School, Ledi 1",,0,No,Yes,Yes,Yes,Mon - Sunday,Public
8.998,7.025,Universal Maternity Home Provides-HIV-ANC,"No. Ibwa Road, Paiko Kore, Gwagwalada",(23480) 584-1981,info@maitama.gov.ng,"A Private Maternity Home Situated Along Gwagwalada-Dobi Road, At No. 1 Ibwa Road,Paiko Kore",,1,No,Yes,Yes,Yes,Mon - Sunday,Private
8.995,7.030,"Health Clinic Provides-HIV-ANC, Paiko Kore","Along Doni Road, Behind L.E.A Primary School, Paiko Kore",(23480) 584-1982,info@maitama.gov.ng,"A Government Owned Health Clinic Along Gwagwalada-Dobi Road, Behind L.E.A Primary School Paiko Kore",,0,No,Yes,Yes,Yes,Mon - Sunday,Public
8.951,7.078,Living Stream Specialist Medical Center Provides-HIV-ANC,"No 43-45 Anglo 90 Road, Phase 1,Gwagwalada",(23480) 584-1983,info@maitama.gov.ng,"A Private Medical Center Situated At No 43-45 Anglo 90 Road, Phase 1,Gwagwalada",,3,No,Yes,Yes,Yes,Mon - Sunday,Private
8.939,7.077,Our Lord's Medical Center Provides-HIV-ANC,"Radio House By FSP 'T' Junction Behind Gwagwalada Market, Gwagwalada",(23480) 584-1984,info@maitama.gov.ng,This Is A Privately Owned Hospital Behind Gwagwalada Market. The Hospital Is Presently Closed Down For Service,,0,No,No,No,No,Mon - Friday,Private
9.097,7.216,Ehigbachi Health Center Provides-HIV-ANC,"Anguwa Sarki, Behind L.E.A Primary School,Zuba",(23480) 584-1985,info@maitama.gov.ng,"A Private Health Center Situated Behind  L.E.A Primary School, Zuba",,1,No,Yes,Yes,Yes,Mon - Sunday,Private
9.098,7.216,Chibuzor Clinic And Maternity Provides-HIV-ANC,"Old Court Road, Zuba, Gwagwalada",(23480) 584-1986,info@maitama.gov.ng,"A Private Clinic Along Old Court Road, Zuba",,1,No,Yes,Yes,Yes,Mon - Sunday,Private
9.099,7.217,Zuba Health Clinic Provides-HIV-ANC,"Opp. Block 5,Minister's Hill, New Extension, Zuba",(23480) 584-1987,info@maitama.gov.ng,"A Public Health Facility Situated Opp. Block 5,Minister's Hill, New Extension, Zuba",,0,No,Yes,Yes,Yes,Mon - Sunday,Public
9.040,7.506,Echo Scan Services Provides-HIV-ANC,"21 Otukpo St. Off Onitsha Crescent Area 2,Garki",(23480) 584-1988,info@maitama.gov.ng,"It Is Located On Plot 643 Gimbiya Street, First Building On The Right By The Road Opposite Victory Plaza On Onitsha Crescent, Garki Area 2",,3,Yes,No,No,No,Mon - Friday,Private
9.015,7.491,Ruz Medical Center Provides-HIV-ANC,"Lot 255 Garki 2,31ubiaja Crescent",(23480) 584-1989,info@maitama.gov.ng,The Road Beside Tantalizer Ladoke Akintola. It Is Down The Road(Ubiaja Crescent),,3,No,Yes,Yes,Yes,Mon - Sunday,Private
